"Date","Price","Open","High","Low","Vol.","Change %"
"May 26, 2021","1,920.67","1,911.37","1,925.40","1,910.14","109.66K","0.06%"
"May 25, 2021","1,919.52","1,920.50","1,921.40","1,913.63","992.96M","0.34%"
"May 24, 2021","1,913.04","1,903.60","1,920.50","1,903.60","99.38K","0.44%"
"May 21, 2021","1,904.69","1,899.67","1,910.04","1,897.86","1.04B","0.46%"
"May 20, 2021","1,895.92","1,888.11","1,901.65","1,885.95","994.65M","0.04%"
"May 19, 2021","1,895.24","1,888.26","1,903.12","1,883.78","1.16B","-0.66%"
"May 18, 2021","1,907.74","1,886.11","1,912.10","1,886.11","1.23B","1.54%"
"May 17, 2021","1,878.86","1,897.23","1,897.75","1,869.93","1.16B","-0.24%"
"May 14, 2021","1,883.42","1,869.35","1,889.92","1,866.71","1.27B","1.86%"
"May 13, 2021","1,849.04","1,865.35","1,870.96","1,845.72","1.41B","-1.54%"
"May 12, 2021","1,877.95","1,905.49","1,909.64","1,862.04","1.53B","-1.47%"
"May 11, 2021","1,905.92","1,938.45","1,942.43","1,901.97","1.29B","-2.37%"
"May 10, 2021","1,952.27","1,936.91","1,955.51","1,934.65","1.13B","0.99%"
"May 07, 2021","1,933.05","1,930.13","1,938.28","1,925.75","1.17B","0.29%"
"May 06, 2021","1,927.40","1,919.10","1,938.44","1,916.20","1.53B","1.54%"
"Apr 30, 2021","1,898.24","1,910.03","1,913.69","1,897.09","1.35B","-0.57%"
"Apr 28, 2021","1,909.06","1,903.85","1,915.09","1,900.62","123.71K","0.29%"
"Apr 27, 2021","1,903.55","1,917.48","1,918.22","1,903.55","1.16B","-0.76%"
"Apr 26, 2021","1,918.15","1,922.47","1,923.89","1,907.45","974.77M","0.17%"
"Apr 23, 2021","1,914.98","1,911.41","1,916.51","1,904.64","955.01M","-0.39%"
"Apr 22, 2021","1,922.50","1,911.91","1,923.18","1,905.67","1.08B","1.82%"
"Apr 21, 2021","1,888.18","1,897.91","1,899.91","1,879.68","1.26B","-1.98%"
"Apr 20, 2021","1,926.25","1,940.92","1,940.92","1,922.53","1.09B","-1.55%"
"Apr 19, 2021","1,956.56","1,960.81","1,965.49","1,953.98","918.23M","-0.22%"
"Apr 16, 2021","1,960.87","1,963.74","1,964.69","1,952.67","909.15M","0.09%"
"Apr 15, 2021","1,959.13","1,955.28","1,969.29","1,954.79","941.38M","0.36%"
"Apr 14, 2021","1,952.18","1,953.92","1,955.52","1,946.17","1.04B","-0.33%"
"Apr 13, 2021","1,958.55","1,957.91","1,971.78","1,955.89","1.02B","0.20%"
"Apr 12, 2021","1,954.59","1,967.30","1,968.62","1,954.59","954.29M","-0.25%"
"Apr 09, 2021","1,959.47","1,958.99","1,978.68","1,957.81","1.12B","0.39%"
"Apr 08, 2021","1,951.86","1,962.93","1,962.93","1,946.33","1.13B","-0.79%"
"Apr 07, 2021","1,967.43","1,961.03","1,970.36","1,950.48","1.08B","0.67%"
"Apr 06, 2021","1,954.34","1,989.09","1,989.09","1,951.64","1.14B","-1.47%"
"Apr 05, 2021","1,983.54","1,979.55","1,986.49","1,973.69","972.36M","0.60%"
"Apr 02, 2021","1,971.62","1,975.01","1,980.02","1,964.20","1.00B","0.71%"
"Apr 01, 2021","1,957.64","1,971.78","1,974.20","1,953.83","1.25B","0.19%"
"Mar 31, 2021","1,954.00","1,966.63","1,976.82","1,954.00","1.33B","-1.21%"
"Mar 30, 2021","1,977.86","1,980.42","1,982.95","1,967.13","1.34B","-0.78%"
"Mar 29, 2021","1,993.34","2,004.11","2,005.75","1,975.09","1.83B","0.46%"
"Mar 26, 2021","1,984.16","1,976.54","1,986.56","1,972.88","1.28B","1.46%"
"Mar 25, 2021","1,955.55","1,940.76","1,962.05","1,939.73","1.24B","1.40%"
"Mar 24, 2021","1,928.58","1,954.90","1,962.16","1,924.98","1.59B","-2.18%"
"Mar 23, 2021","1,971.48","2,000.26","2,002.74","1,971.48","1.37B","-0.94%"
"Mar 22, 2021","1,990.18","1,996.66","2,000.01","1,980.71","1.38B","-1.09%"
"Mar 19, 2021","2,012.21","1,994.79","2,013.71","1,994.43","2.10B","0.18%"
"Mar 18, 2021","2,008.51","1,995.48","2,011.58","1,992.54","1.60B","1.23%"
"Mar 17, 2021","1,984.03","1,972.43","1,984.03","1,971.36","1.25B","0.13%"
"Mar 16, 2021","1,981.50","1,967.62","1,981.50","1,967.52","1.42B","0.65%"
"Mar 15, 2021","1,968.73","1,958.68","1,968.73","1,953.66","1.54B","0.91%"
"Mar 12, 2021","1,951.06","1,929.33","1,951.06","1,922.54","1.58B","1.36%"
"Mar 11, 2021","1,924.92","1,921.06","1,927.40","1,916.24","1.38B","0.27%"
"Mar 10, 2021","1,919.74","1,918.16","1,922.87","1,912.97","1.39B","0.11%"
