"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 27, 2021","15,746.45","15,860.50","15,881.55","15,701.00","311.01B","-0.49%"
"Jul 26, 2021","15,824.45","15,849.30","15,893.35","15,797.00","267.08B","-0.20%"
"Jul 23, 2021","15,856.05","15,856.80","15,899.80","15,768.40","294.10B","0.20%"
"Jul 22, 2021","15,824.05","15,736.60","15,834.80","15,726.40","265.25B","1.23%"
"Jul 20, 2021","15,632.10","15,703.95","15,728.45","15,578.55","274.28B","-0.76%"
"Jul 19, 2021","15,752.40","15,754.50","15,836.90","15,707.50","242.13B","-1.07%"
"Jul 16, 2021","15,923.40","15,958.35","15,962.25","15,882.60","276.30B","-0.01%"
"Jul 15, 2021","15,924.20","15,872.15","15,952.35","15,855.00","284.85B","0.44%"
"Jul 14, 2021","15,853.95","15,808.70","15,877.35","15,764.20","239.92B","0.26%"
"Jul 13, 2021","15,812.35","15,794.00","15,820.80","15,744.60","246.68B","0.76%"
"Jul 12, 2021","15,692.60","15,766.80","15,789.20","15,644.75","216.27B","0.02%"
"Jul 09, 2021","15,689.80","15,688.25","15,730.85","15,632.75","243.25B","-0.24%"
"Jul 08, 2021","15,727.90","15,855.40","15,885.75","15,682.90","307.93B","-0.96%"
"Jul 07, 2021","15,879.65","15,819.60","15,893.55","15,779.70","329.31B","0.39%"
"Jul 06, 2021","15,818.25","15,813.75","15,914.20","15,801.00","391.41B","-0.10%"
"Jul 05, 2021","15,834.35","15,793.40","15,845.95","15,762.05","207.03B","0.71%"
"Jul 02, 2021","15,722.20","15,705.85","15,738.35","15,635.95","254.81B","0.27%"
"Jul 01, 2021","15,680.00","15,755.05","15,755.55","15,667.05","224.92B","-0.26%"
"Jun 30, 2021","15,721.50","15,776.90","15,839.10","15,708.75","262.39B","-0.17%"
"Jun 29, 2021","15,748.45","15,807.50","15,835.90","15,724.05","360.33B","-0.42%"
"Jun 28, 2021","15,814.70","15,915.35","15,915.65","15,792.15","255.10B","-0.29%"
"Jun 25, 2021","15,860.35","15,839.35","15,870.80","15,772.30","314.61B","0.44%"
"Jun 24, 2021","15,790.45","15,737.30","15,821.40","15,702.70","316.66B","0.66%"
"Jun 23, 2021","15,686.95","15,862.80","15,862.95","15,673.95","287.54B","-0.54%"
"Jun 22, 2021","15,772.75","15,840.50","15,895.75","15,752.10","322.24B","0.17%"
"Jun 21, 2021","15,746.50","15,525.85","15,765.15","15,505.65","351.53B","0.40%"
"Jun 18, 2021","15,683.35","15,756.50","15,761.50","15,450.90","640.82B","-0.05%"
"Jun 17, 2021","15,691.40","15,648.30","15,769.35","15,616.75","357.65B","-0.48%"
"Jun 16, 2021","15,767.55","15,847.50","15,880.85","15,742.60","340.19B","-0.64%"
"Jun 15, 2021","15,869.25","15,866.95","15,901.60","15,842.40","323.26B","0.36%"
"Jun 14, 2021","15,811.85","15,791.40","15,823.05","15,606.50","392.86B","0.08%"
"Jun 11, 2021","15,799.35","15,796.45","15,835.55","15,749.80","363.01B","0.39%"
"Jun 10, 2021","15,737.75","15,692.10","15,751.25","15,648.50","298.30B","0.65%"
"Jun 09, 2021","15,635.35","15,766.30","15,800.45","15,566.90","457.86B","-0.67%"
"Jun 08, 2021","15,740.10","15,773.90","15,778.80","15,680.00","378.16B","-0.07%"
"Jun 07, 2021","15,751.65","15,725.10","15,773.45","15,678.10","393.97B","0.52%"
"Jun 04, 2021","15,670.25","15,712.50","15,733.60","15,622.35","414.16B","-0.13%"
"Jun 03, 2021","15,690.35","15,655.55","15,705.10","15,611.00","410.24B","0.73%"
"Jun 02, 2021","15,576.20","15,520.35","15,597.45","15,459.85","428.64B","0.01%"
"Jun 01, 2021","15,574.85","15,629.65","15,660.75","15,528.30","409.56B","-0.05%"
"May 31, 2021","15,582.80","15,437.75","15,606.35","15,374.00","436.00B","0.95%"
"May 28, 2021","15,435.65","15,421.20","15,469.65","15,394.75","455.58B","0.64%"
"May 27, 2021","15,337.85","15,323.95","15,384.55","15,272.50","682.37B","0.24%"
"May 26, 2021","15,301.45","15,257.05","15,319.90","15,194.95","377.68B","0.61%"
