"","Date","Price","Open","High","Low","Vol.","Change..","date","new_cases","new_deaths","location","new_vaccinations","new_tests","population","population_density","Price_mul30"
"229","Apr 14, 2021",7023.1,"6,976.90","7,027.40","6,976.90","576.45M","0.66%",2021-04-14,19,0,"Australia",63633,45793,25788217,3.202,210693
"228","Apr 15, 2021",7058.6,"7,023.10","7,071.50","6,988.60","686.79M","0.51%",2021-04-15,15,0,"Australia",61272,44406,25788217,3.202,211758
"227","Apr 16, 2021",7063.5,"7,058.60","7,066.40","7,030.10","627.01M","0.07%",2021-04-16,15,0,"Australia",53981,39152,25788217,3.202,211905
"226","Apr 19, 2021",7065.6,"7,063.50","7,094.80","7,063.50","473.52M","0.03%",2021-04-19,23,0,"Australia",66730,28648,25788217,3.202,211968
"225","Apr 20, 2021",7017.8,"7,065.60","7,067.20","7,008.80","554.64M","-0.68%",2021-04-20,20,0,"Australia",64821,27878,25788217,3.202,210534
"224","Apr 21, 2021",6997.5,"7,017.80","7,017.80","6,905.40","689.08M","-0.29%",2021-04-21,18,0,"Australia",67591,37749,25788217,3.202,209925
"223","Apr 22, 2021",7055.4,"6,997.50","7,055.40","6,993.70","663.98M","0.83%",2021-04-22,44,0,"Australia",69903,37186,25788217,3.202,211662
"222","Apr 23, 2021",7060.7,"7,055.40","7,060.70","7,036.80","485.41M","0.08%",2021-04-23,15,0,"Australia",58446,33457,25788217,3.202,211821
"221","Apr 26, 2021",7045.6,"7,060.70","7,075.20","7,045.60","427.51M","-0.21%",2021-04-26,37,0,"Australia",31852,40627,25788217,3.202,211368
"220","Apr 27, 2021",7033.8,"7,045.60","7,053.30","7,005.90","596.35M","-0.17%",2021-04-27,33,0,"Australia",60207,42490,25788217,3.202,211014
"219","Apr 28, 2021",7064.7,"7,033.80","7,077.50","7,028.60","620.72M","0.44%",2021-04-28,23,0,"Australia",82741,59461,25788217,3.202,211941
"218","Apr 29, 2021",7082.3,"7,064.70","7,096.90","7,064.70","634.86M","0.25%",2021-04-29,25,0,"Australia",67259,50422,25788217,3.202,212469
"217","Apr 30, 2021",7025.8,"7,082.30","7,082.30","7,012.80","615.51M","-0.80%",2021-04-30,13,0,"Australia",55300,44266,25788217,3.202,210774
"216","May 03, 2021",7028.8,"7,025.80","7,068.40","7,022.00","468.23M","0.04%",2021-05-03,12,0,"Australia",56354,28900,25788217,3.202,210864
"215","May 04, 2021",7067.9,"7,028.80","7,069.50","7,028.80","484.50M","0.56%",2021-05-04,15,0,"Australia",79345,30733,25788217,3.202,212037
"214","May 05, 2021",7095.8,"7,067.90","7,122.00","7,054.00","510.16M","0.39%",2021-05-05,19,0,"Australia",77215,53237,25788217,3.202,212874
"213","May 06, 2021",7061.7,"7,095.80","7,112.50","7,042.70","625.15M","-0.48%",2021-05-06,9,0,"Australia",81002,49746,25788217,3.202,211851
"212","May 07, 2021",7080.8,"7,061.70","7,101.20","7,054.10","532.25M","0.27%",2021-05-07,13,0,"Australia",73194,48969,25788217,3.202,212424
"211","May 10, 2021",7172.8,"7,080.80","7,172.80","7,076.10","588.42M","1.30%",2021-05-10,7,0,"Australia",72886,36799,25788217,3.202,215184
"210","May 11, 2021",7097,"7,172.80","7,172.80","7,078.00","558.92M","-1.06%",2021-05-11,8,0,"Australia",76379,35191,25788217,3.202,212910
"209","May 12, 2021",7044.9,"7,097.00","7,097.00","7,006.60","644.65M","-0.73%",2021-05-12,9,0,"Australia",82284,61475,25788217,3.202,211347
